"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-06","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","2022.4","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1976.0","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1996.9","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","2041.0","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","2034.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","2045.5","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","1993.4","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","1982.0","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","2027.3","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","2029.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1847.0","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1784.9","","","","1"
